"","x"
"80","https://www.ptt.cc/bbs/HatePolitics/M.1563512693.A.834.html"
"81","https://www.ptt.cc/bbs/HatePolitics/M.1563512740.A.5C5.html"
"82","https://www.ptt.cc/bbs/HatePolitics/M.1563512804.A.80F.html"
"83","https://www.ptt.cc/bbs/HatePolitics/M.1563512838.A.2D0.html"
"84","https://www.ptt.cc/bbs/HatePolitics/M.1563512868.A.4D5.html"
"85","https://www.ptt.cc/bbs/HatePolitics/M.1563512879.A.81B.html"
"86","https://www.ptt.cc/bbs/HatePolitics/M.1563512921.A.B38.html"
"87","https://www.ptt.cc/bbs/HatePolitics/M.1563513071.A.CD5.html"
"88","https://www.ptt.cc/bbs/HatePolitics/M.1563513158.A.8B3.html"
"89","https://www.ptt.cc/bbs/HatePolitics/M.1563513196.A.199.html"
"90","https://www.ptt.cc/bbs/HatePolitics/M.1563513207.A.B61.html"
"91","https://www.ptt.cc/bbs/HatePolitics/M.1563513207.A.37B.html"
"92","https://www.ptt.cc/bbs/HatePolitics/M.1563513357.A.C4D.html"
"93","https://www.ptt.cc/bbs/HatePolitics/M.1563513366.A.B85.html"
"94","https://www.ptt.cc/bbs/HatePolitics/M.1563513434.A.356.html"
"95","https://www.ptt.cc/bbs/HatePolitics/M.1563513468.A.023.html"
"96","https://www.ptt.cc/bbs/HatePolitics/M.1563513486.A.3EE.html"
"97","https://www.ptt.cc/bbs/HatePolitics/M.1563513526.A.BA8.html"
"98","https://www.ptt.cc/bbs/HatePolitics/M.1563513603.A.54D.html"
"99","https://www.ptt.cc/bbs/HatePolitics/M.1563513622.A.FA6.html"
"100","https://www.ptt.cc/bbs/HatePolitics/M.1563513671.A.A6E.html"
"101","https://www.ptt.cc/bbs/HatePolitics/M.1563513675.A.43C.html"
"102","https://www.ptt.cc/bbs/HatePolitics/M.1563513752.A.D92.html"
"103","https://www.ptt.cc/bbs/HatePolitics/M.1563513880.A.E6A.html"
"104","https://www.ptt.cc/bbs/HatePolitics/M.1563513946.A.3BF.html"
"105","https://www.ptt.cc/bbs/HatePolitics/M.1563513960.A.740.html"
"106","https://www.ptt.cc/bbs/HatePolitics/M.1563514041.A.E07.html"
"107","https://www.ptt.cc/bbs/HatePolitics/M.1563514056.A.978.html"
"108","https://www.ptt.cc/bbs/HatePolitics/M.1563514098.A.1A0.html"
"109","https://www.ptt.cc/bbs/HatePolitics/M.1563514122.A.724.html"
"110","https://www.ptt.cc/bbs/HatePolitics/M.1563514197.A.387.html"
"111","https://www.ptt.cc/bbs/HatePolitics/M.1563514225.A.A3B.html"
"112","https://www.ptt.cc/bbs/HatePolitics/M.1563514327.A.BB5.html"
"113","https://www.ptt.cc/bbs/HatePolitics/M.1563514405.A.4F9.html"
"114","https://www.ptt.cc/bbs/HatePolitics/M.1563514443.A.61F.html"
"115","https://www.ptt.cc/bbs/HatePolitics/M.1563514469.A.25A.html"
"116","https://www.ptt.cc/bbs/HatePolitics/M.1563514506.A.AF6.html"
"117","https://www.ptt.cc/bbs/HatePolitics/M.1563514669.A.C90.html"
"118","https://www.ptt.cc/bbs/HatePolitics/M.1563514695.A.B16.html"
"119","https://www.ptt.cc/bbs/HatePolitics/M.1563514837.A.D05.html"
"120","https://www.ptt.cc/bbs/HatePolitics/M.1563514984.A.783.html"
"121","https://www.ptt.cc/bbs/HatePolitics/M.1563515066.A.5BB.html"
"122","https://www.ptt.cc/bbs/HatePolitics/M.1563515105.A.8F7.html"
"123","https://www.ptt.cc/bbs/HatePolitics/M.1563515148.A.752.html"
"124","https://www.ptt.cc/bbs/HatePolitics/M.1563515209.A.002.html"
"125","https://www.ptt.cc/bbs/HatePolitics/M.1563515352.A.19F.html"
"126","https://www.ptt.cc/bbs/HatePolitics/M.1563515506.A.03D.html"
"127","https://www.ptt.cc/bbs/HatePolitics/M.1563515610.A.803.html"
"128","https://www.ptt.cc/bbs/HatePolitics/M.1563515678.A.D9D.html"
"129","https://www.ptt.cc/bbs/HatePolitics/M.1563515806.A.C5A.html"
"130","https://www.ptt.cc/bbs/HatePolitics/M.1563515813.A.735.html"
"131","https://www.ptt.cc/bbs/HatePolitics/M.1563515884.A.921.html"
"132","https://www.ptt.cc/bbs/HatePolitics/M.1563516036.A.F69.html"
"133","https://www.ptt.cc/bbs/HatePolitics/M.1563516041.A.3F8.html"
"134","https://www.ptt.cc/bbs/HatePolitics/M.1563516104.A.6A9.html"
"135","https://www.ptt.cc/bbs/HatePolitics/M.1563516192.A.55C.html"
"136","https://www.ptt.cc/bbs/HatePolitics/M.1563516192.A.6E3.html"
"137","https://www.ptt.cc/bbs/HatePolitics/M.1563516314.A.0E7.html"
"138","https://www.ptt.cc/bbs/HatePolitics/M.1563516402.A.588.html"
"139","https://www.ptt.cc/bbs/HatePolitics/M.1563516476.A.7F3.html"
"140","https://www.ptt.cc/bbs/HatePolitics/M.1563516757.A.C2E.html"
"141","https://www.ptt.cc/bbs/HatePolitics/M.1563516804.A.C09.html"
"142","https://www.ptt.cc/bbs/HatePolitics/M.1563516913.A.31A.html"
