"","test","X5","exNum"
"1","math",8,0
"2","steak",23,18
"3","bald",22,27
"4","girl",21,32
"5","friend",33,39
"6","the",200,68
"7","avocado",2,17
"8","mouse",8,13
"9","book",50,70
