"","test","X5","exNum"
"1","math",8,34
"2","steak",23,67
"3","bald",22,105
"4","girl",21,71
"5","friend",33,194
"6","the",200,87
"7","avocado",2,59
"8","mouse",8,87
"9","book",50,422
